,image_number,xmin,ymin,xmax,ymax,x_values_odo,y_values_odo,z_values_odo,x_center,y_center,width,height
0,0,339,61,783,662,2.031,1.019,0.507637,561,361,444,601
1,1,383,43,773,641,2.04,1.036,0.507637,578,342,390,598
2,2,385,48,770,641,2.05,1.054,0.507637,577,344,385,593
3,2,1017,4,1280,720,2.05,1.054,0.507637,1148,362,263,716
4,3,380,54,773,645,2.06,1.071,0.508296,576,349,393,591
5,3,1015,2,1280,720,2.06,1.071,0.508296,1147,361,265,718
6,4,384,64,759,638,2.069,1.089,0.507637,571,351,375,574
7,4,1010,1,1280,720,2.069,1.089,0.507637,1145,360,270,719
8,5,380,55,766,637,2.079,1.106,0.507637,573,346,386,582
9,5,1021,3,1280,720,2.079,1.106,0.507637,1150,361,259,717
10,6,386,62,772,640,2.088,1.123,0.506978,579,351,386,578
11,6,1015,1,1280,720,2.088,1.123,0.506978,1147,360,265,719
12,7,382,60,772,641,2.098,1.141,0.507637,577,350,390,581
13,7,1015,3,1280,720,2.098,1.141,0.507637,1147,361,265,717
14,8,385,65,769,640,2.108,1.158,0.506978,577,352,384,575
15,8,1015,5,1280,720,2.108,1.158,0.506978,1147,362,265,715
16,9,384,71,772,641,2.117,1.176,0.508296,578,356,388,570
17,9,1012,1,1278,719,2.117,1.176,0.508296,1145,360,266,718
18,10,383,65,769,641,2.127,1.193,0.506978,576,353,386,576
19,10,1003,2,1280,720,2.127,1.193,0.506978,1141,361,277,718
20,11,385,50,772,641,2.136,1.211,0.507637,578,345,387,591
21,11,1015,1,1277,719,2.136,1.211,0.507637,1146,360,262,718
22,12,385,76,770,641,2.146,1.228,0.507637,577,358,385,565
23,12,1015,1,1280,720,2.146,1.228,0.507637,1147,360,265,719
24,13,385,46,772,641,2.154,1.243,0.510271,578,343,387,595
25,13,1018,1,1280,720,2.154,1.243,0.510271,1149,360,262,719
26,14,386,61,771,641,2.161,1.256,0.51749,578,351,385,580
27,14,1015,1,1280,720,2.161,1.256,0.51749,1147,360,265,719
28,15,384,60,768,642,2.166,1.265,0.525323,576,351,384,582
29,15,1018,1,1280,720,2.166,1.265,0.525323,1149,360,262,719
30,16,387,64,768,644,2.169,1.273,0.534406,577,354,381,580
31,16,1018,1,1280,720,2.169,1.273,0.534406,1149,360,262,719
32,17,386,64,771,641,2.171,1.277,0.5415,578,352,385,577
33,17,1014,1,1280,720,2.171,1.277,0.5415,1147,360,266,719
34,18,383,61,774,641,2.172,1.279,0.549194,578,351,391,580
35,18,1017,1,1280,720,2.172,1.279,0.549194,1148,360,263,719
36,19,386,68,769,639,2.172,1.28,0.554935,577,353,383,571
37,19,1018,1,1280,720,2.172,1.28,0.554935,1149,360,262,719
38,20,384,67,770,641,2.172,1.28,0.561916,577,354,386,574
39,20,1017,1,1275,719,2.172,1.28,0.561916,1146,360,258,718
40,21,383,60,768,638,2.172,1.28,0.569486,575,349,385,578
41,21,1009,1,1280,720,2.172,1.28,0.569486,1144,360,271,719
42,22,379,63,771,644,2.172,1.28,0.577632,575,353,392,581
43,22,1014,1,1257,695,2.172,1.28,0.577632,1135,348,243,694
44,23,384,60,774,641,2.172,1.28,0.585101,579,350,390,581
45,23,1016,4,1280,720,2.172,1.28,0.585101,1148,362,264,716
46,24,382,66,772,644,2.172,1.28,0.593137,577,355,390,578
47,24,1021,3,1275,720,2.172,1.28,0.593137,1148,361,254,717
48,25,386,63,779,644,2.172,1.28,0.600503,582,353,393,581
49,25,1024,1,1280,720,2.172,1.28,0.600503,1152,360,256,719
50,26,383,59,772,639,2.172,1.28,0.609032,577,349,389,580
51,26,1014,1,1280,720,2.172,1.28,0.609032,1147,360,266,719
52,27,384,64,775,640,2.172,1.28,0.615685,579,352,391,576
53,27,1019,4,1280,720,2.172,1.28,0.615685,1149,362,261,716
54,28,381,63,773,643,2.172,1.28,0.623491,577,353,392,580
55,28,1014,2,1280,720,2.172,1.28,0.623491,1147,361,266,718
56,29,374,63,758,648,2.172,1.28,0.630642,566,355,384,585
57,29,1008,1,1280,720,2.172,1.28,0.630642,1144,360,272,719
58,30,367,69,764,643,2.173,1.282,0.634197,565,356,397,574
59,30,1010,3,1280,720,2.173,1.282,0.634197,1145,361,270,717
60,31,371,75,761,643,2.174,1.287,0.63597,566,359,390,568
61,31,1012,2,1280,720,2.174,1.287,0.63597,1146,361,268,718
62,32,373,52,766,648,2.175,1.295,0.63597,569,350,393,596
63,32,1021,1,1280,720,2.175,1.295,0.63597,1150,360,259,719
64,33,355,47,763,645,2.178,1.308,0.63597,559,346,408,598
65,33,1023,6,1279,720,2.178,1.308,0.63597,1151,363,256,714
66,34,367,38,775,651,2.18,1.322,0.63715,571,344,408,613
67,34,1037,1,1280,720,2.18,1.322,0.63715,1158,360,243,719
68,35,347,36,764,651,2.184,1.34,0.63597,555,343,417,615
69,35,1041,1,1280,720,2.184,1.34,0.63597,1160,360,239,719
70,36,346,26,765,648,2.187,1.36,0.63774,555,337,419,622
71,36,1049,4,1280,720,2.187,1.36,0.63774,1164,362,231,716
72,37,347,17,764,652,2.191,1.379,0.63597,555,334,417,635
73,37,1052,4,1280,720,2.191,1.379,0.63597,1166,362,228,716
74,38,336,15,760,655,2.195,1.399,0.63656,548,335,424,640
75,38,1051,3,1280,720,2.195,1.399,0.63656,1165,361,229,717
76,39,333,27,760,656,2.198,1.418,0.63597,546,341,427,629
77,39,1063,1,1280,720,2.198,1.418,0.63597,1171,360,217,719
78,40,315,6,759,665,2.202,1.438,0.63656,537,335,444,659
79,40,1062,1,1280,720,2.202,1.438,0.63656,1171,360,218,719
80,41,316,3,753,665,2.206,1.457,0.63597,534,334,437,662
81,41,1070,5,1280,720,2.206,1.457,0.63597,1175,362,210,715
82,42,314,1,766,671,2.209,1.477,0.63656,540,336,452,670
83,42,1086,2,1280,720,2.209,1.477,0.63656,1183,361,194,718
84,43,301,1,761,674,2.213,1.496,0.63597,531,337,460,673
85,43,1089,1,1280,720,2.213,1.496,0.63597,1184,360,191,719
86,44,299,1,761,679,2.216,1.513,0.638329,530,340,462,678
