,Unnamed: 0,image_number,xmin,ymin,xmax,ymax,x_values_odo,y_values_odo,z_values_odo,x_center,y_center,width,height
0,0,0,3.11,0.95,7.21,10.79,2.031,1.019,0.507637,5.16,5.89,4.05,9.79
1,1,1,3.53,0.68,7.11,10.47,2.04,1.036,0.507637,5.32,5.58,3.58,9.79
2,2,2,3.53,0.74,7.05,10.47,2.05,1.054,0.507637,5.26,5.63,3.53,9.68
3,3,2,9.32,0.05,11.79,11.79,2.05,1.054,0.507637,10.53,5.89,2.42,11.68
4,4,3,3.47,0.84,7.11,10.53,2.06,1.071,0.508296,5.26,5.68,3.58,9.63
5,5,3,9.32,0.0,11.79,11.79,2.06,1.071,0.508296,10.53,5.89,2.42,11.74
6,6,4,3.53,1.0,6.95,10.42,2.069,1.089,0.507637,5.21,5.74,3.42,9.37
7,7,4,9.26,0.0,11.79,11.79,2.069,1.089,0.507637,10.53,5.89,2.47,11.74
8,8,5,3.47,0.89,7.05,10.42,2.079,1.106,0.507637,5.26,5.63,3.53,9.53
9,9,5,9.37,0.0,11.79,11.79,2.079,1.106,0.507637,10.58,5.89,2.37,11.74
10,10,6,3.53,1.0,7.11,10.47,2.088,1.123,0.506978,5.32,5.74,3.53,9.42
11,11,6,9.32,0.0,11.79,11.79,2.088,1.123,0.506978,10.53,5.89,2.42,11.74
12,12,7,3.47,0.95,7.11,10.47,2.098,1.141,0.507637,5.26,5.68,3.58,9.47
13,13,7,9.32,0.0,11.79,11.79,2.098,1.141,0.507637,10.53,5.89,2.42,11.74
14,14,8,3.53,1.05,7.05,10.47,2.108,1.158,0.506978,5.26,5.74,3.53,9.37
15,15,8,9.32,0.05,11.79,11.79,2.108,1.158,0.506978,10.53,5.89,2.42,11.68
16,16,9,3.53,1.16,7.11,10.47,2.117,1.176,0.508296,5.32,5.79,3.53,9.32
17,17,9,9.32,0.0,11.74,11.74,2.117,1.176,0.508296,10.53,5.89,2.42,11.74
18,18,10,3.53,1.05,7.05,10.47,2.127,1.193,0.506978,5.26,5.74,3.53,9.42
19,19,10,9.21,0.0,11.79,11.79,2.127,1.193,0.506978,10.47,5.89,2.53,11.74
20,20,11,3.53,0.79,7.11,10.47,2.136,1.211,0.507637,5.32,5.63,3.53,9.63
21,21,11,9.32,0.0,11.74,11.74,2.136,1.211,0.507637,10.53,5.89,2.37,11.74
22,22,12,3.53,1.21,7.05,10.47,2.146,1.228,0.507637,5.26,5.84,3.53,9.21
23,23,12,9.32,0.0,11.79,11.79,2.146,1.228,0.507637,10.53,5.89,2.42,11.74
24,24,13,3.53,0.74,7.11,10.47,2.154,1.243,0.510271,5.32,5.58,3.53,9.74
25,25,13,9.37,0.0,11.79,11.79,2.154,1.243,0.510271,10.58,5.89,2.37,11.74
26,26,14,3.53,0.95,7.05,10.47,2.161,1.256,0.51749,5.32,5.74,3.53,9.47
27,27,14,9.32,0.0,11.79,11.79,2.161,1.256,0.51749,10.53,5.89,2.42,11.74
28,28,15,3.53,0.95,7.05,10.47,2.166,1.265,0.525323,5.26,5.74,3.53,9.53
29,29,15,9.37,0.0,11.79,11.79,2.166,1.265,0.525323,10.58,5.89,2.37,11.74
30,30,16,3.53,1.0,7.05,10.53,2.169,1.273,0.534406,5.26,5.79,3.47,9.47
31,31,16,9.37,0.0,11.79,11.79,2.169,1.273,0.534406,10.58,5.89,2.37,11.74
32,32,17,3.53,1.0,7.05,10.47,2.171,1.277,0.5415,5.32,5.74,3.53,9.42
33,33,17,9.32,0.0,11.79,11.79,2.171,1.277,0.5415,10.53,5.89,2.42,11.74
34,34,18,3.53,0.95,7.11,10.47,2.172,1.279,0.549194,5.32,5.74,3.58,9.47
35,35,18,9.32,0.0,11.79,11.79,2.172,1.279,0.549194,10.53,5.89,2.42,11.74
36,36,19,3.53,1.11,7.05,10.42,2.172,1.28,0.554935,5.26,5.74,3.53,9.32
37,37,19,9.37,0.0,11.79,11.79,2.172,1.28,0.554935,10.58,5.89,2.37,11.74
38,38,20,3.53,1.05,7.05,10.47,2.172,1.28,0.561916,5.26,5.79,3.53,9.37
39,39,20,9.32,0.0,11.74,11.74,2.172,1.28,0.561916,10.53,5.89,2.37,11.74
40,40,21,3.53,0.95,7.05,10.42,2.172,1.28,0.569486,5.26,5.68,3.53,9.42
41,41,21,9.26,0.0,11.79,11.79,2.172,1.28,0.569486,10.53,5.89,2.47,11.74
42,42,22,3.47,1.0,7.05,10.53,2.172,1.28,0.577632,5.26,5.74,3.58,9.47
43,43,22,9.32,0.0,11.53,11.37,2.172,1.28,0.577632,10.42,5.68,2.21,11.32
44,44,23,3.53,0.95,7.11,10.47,2.172,1.28,0.585101,5.32,5.68,3.58,9.47
45,45,23,9.32,0.05,11.79,11.79,2.172,1.28,0.585101,10.53,5.89,2.42,11.68
46,46,24,3.47,1.05,7.11,10.53,2.172,1.28,0.593137,5.26,5.79,3.58,9.42
47,47,24,9.37,0.0,11.74,11.79,2.172,1.28,0.593137,10.53,5.89,2.32,11.74
48,48,25,3.53,1.0,7.16,10.53,2.172,1.28,0.600503,5.32,5.74,3.58,9.47
49,49,25,9.42,0.0,11.79,11.79,2.172,1.28,0.600503,10.58,5.89,2.32,11.74
50,50,26,3.53,0.95,7.11,10.42,2.172,1.28,0.609032,5.26,5.68,3.58,9.47
51,51,26,9.32,0.0,11.79,11.79,2.172,1.28,0.609032,10.53,5.89,2.42,11.74
52,52,27,3.53,1.0,7.11,10.47,2.172,1.28,0.615685,5.32,5.74,3.58,9.42
53,53,27,9.37,0.05,11.79,11.79,2.172,1.28,0.615685,10.58,5.89,2.37,11.68
54,54,28,3.47,1.0,7.11,10.53,2.172,1.28,0.623491,5.26,5.74,3.58,9.47
55,55,28,9.32,0.0,11.79,11.79,2.172,1.28,0.623491,10.53,5.89,2.42,11.74
56,56,29,3.42,1.0,6.95,10.58,2.172,1.28,0.630642,5.21,5.79,3.53,9.58
57,57,29,9.26,0.0,11.79,11.79,2.172,1.28,0.630642,10.53,5.89,2.47,11.74
58,58,30,3.37,1.11,7.0,10.53,2.173,1.282,0.634197,5.16,5.79,3.63,9.37
59,59,30,9.26,0.0,11.79,11.79,2.173,1.282,0.634197,10.53,5.89,2.47,11.74
60,60,31,3.37,1.21,7.0,10.53,2.174,1.287,0.63597,5.21,5.84,3.58,9.26
61,61,31,9.32,0.0,11.79,11.79,2.174,1.287,0.63597,10.53,5.89,2.42,11.74
