,Unnamed: 0,image_number,xmin,ymin,xmax,ymax,x_values_odo,y_values_odo,z_values_odo,x_center,y_center,width,height
0,0,0,1.84,0.56,4.28,6.41,2.031,1.019,0.507637,3.06,3.5,2.41,5.81
1,1,1,2.09,0.41,4.22,6.22,2.04,1.036,0.507637,3.16,3.31,2.12,5.81
2,2,2,2.09,0.44,4.19,6.22,2.05,1.054,0.507637,3.12,3.34,2.09,5.75
3,3,2,5.53,0.03,7.0,7.0,2.05,1.054,0.507637,6.25,3.5,1.44,6.94
4,4,3,2.06,0.5,4.22,6.25,2.06,1.071,0.508296,3.12,3.38,2.12,5.72
5,5,3,5.53,0.0,7.0,7.0,2.06,1.071,0.508296,6.25,3.5,1.44,6.97
6,6,4,2.09,0.59,4.12,6.19,2.069,1.089,0.507637,3.09,3.41,2.03,5.56
7,7,4,5.5,0.0,7.0,7.0,2.069,1.089,0.507637,6.25,3.5,1.47,6.97
8,8,5,2.06,0.53,4.19,6.19,2.079,1.106,0.507637,3.12,3.34,2.09,5.66
9,9,5,5.56,0.0,7.0,7.0,2.079,1.106,0.507637,6.28,3.5,1.41,6.97
10,10,6,2.09,0.59,4.22,6.22,2.088,1.123,0.506978,3.16,3.41,2.09,5.59
11,11,6,5.53,0.0,7.0,7.0,2.088,1.123,0.506978,6.25,3.5,1.44,6.97
12,12,7,2.06,0.56,4.22,6.22,2.098,1.141,0.507637,3.12,3.38,2.12,5.62
13,13,7,5.53,0.0,7.0,7.0,2.098,1.141,0.507637,6.25,3.5,1.44,6.97
14,14,8,2.09,0.62,4.19,6.22,2.108,1.158,0.506978,3.12,3.41,2.09,5.56
15,15,8,5.53,0.03,7.0,7.0,2.108,1.158,0.506978,6.25,3.5,1.44,6.94
16,16,9,2.09,0.69,4.22,6.22,2.117,1.176,0.508296,3.16,3.44,2.09,5.53
17,17,9,5.53,0.0,6.97,6.97,2.117,1.176,0.508296,6.25,3.5,1.44,6.97
18,18,10,2.09,0.62,4.19,6.22,2.127,1.193,0.506978,3.12,3.41,2.09,5.59
19,19,10,5.47,0.0,7.0,7.0,2.127,1.193,0.506978,6.22,3.5,1.5,6.97
20,20,11,2.09,0.47,4.22,6.22,2.136,1.211,0.507637,3.16,3.34,2.09,5.72
21,21,11,5.53,0.0,6.97,6.97,2.136,1.211,0.507637,6.25,3.5,1.41,6.97
22,22,12,2.09,0.72,4.19,6.22,2.146,1.228,0.507637,3.12,3.47,2.09,5.47
23,23,12,5.53,0.0,7.0,7.0,2.146,1.228,0.507637,6.25,3.5,1.44,6.97
24,24,13,2.09,0.44,4.22,6.22,2.154,1.243,0.510271,3.16,3.31,2.09,5.78
25,25,13,5.56,0.0,7.0,7.0,2.154,1.243,0.510271,6.28,3.5,1.41,6.97
26,26,14,2.09,0.56,4.19,6.22,2.161,1.256,0.51749,3.16,3.41,2.09,5.62
27,27,14,5.53,0.0,7.0,7.0,2.161,1.256,0.51749,6.25,3.5,1.44,6.97
28,28,15,2.09,0.56,4.19,6.22,2.166,1.265,0.525323,3.12,3.41,2.09,5.66
29,29,15,5.56,0.0,7.0,7.0,2.166,1.265,0.525323,6.28,3.5,1.41,6.97
30,30,16,2.09,0.59,4.19,6.25,2.169,1.273,0.534406,3.12,3.44,2.06,5.62
31,31,16,5.56,0.0,7.0,7.0,2.169,1.273,0.534406,6.28,3.5,1.41,6.97
32,32,17,2.09,0.59,4.19,6.22,2.171,1.277,0.5415,3.16,3.41,2.09,5.59
33,33,17,5.53,0.0,7.0,7.0,2.171,1.277,0.5415,6.25,3.5,1.44,6.97
34,34,18,2.09,0.56,4.22,6.22,2.172,1.279,0.549194,3.16,3.41,2.12,5.62
35,35,18,5.53,0.0,7.0,7.0,2.172,1.279,0.549194,6.25,3.5,1.44,6.97
