,Unnamed: 0,Unnamed: 0.1,image_number,xmin,ymin,xmax,ymax,x_values_odo,y_values_odo,z_values_odo,x_center,y_center,width,height
0,0,0,0,0.69,0.1200000000000001,0.5600000000000005,0.8100000000000005,2.031,1.019,0.507637,0.1200000000000001,0.0,4.81,11.62
1,1,1,1,0.1900000000000004,0.81,0.4399999999999995,0.4399999999999995,2.04,1.036,0.507637,0.3099999999999996,0.6200000000000001,4.25,11.62
2,2,2,2,0.1900000000000004,0.88,0.3800000000000008,0.4399999999999995,2.05,1.054,0.507637,0.25,0.6900000000000004,4.19,11.5
3,3,3,2,0.0600000000000005,0.06,0.0,0.0,2.05,1.054,0.507637,0.5,0.0,2.88,13.88
4,4,4,3,0.1200000000000001,0.0,0.4399999999999995,0.5,2.06,1.071,0.508296,0.25,0.75,4.25,11.44
5,5,5,3,0.0600000000000005,0.0,0.0,0.0,2.06,1.071,0.508296,0.5,0.0,2.88,13.94
6,6,6,4,0.1900000000000004,0.18999999999999995,0.25,0.3800000000000008,2.069,1.089,0.507637,0.1900000000000004,0.8099999999999996,4.06,11.12
7,7,7,4,0.0,0.0,0.0,0.0,2.069,1.089,0.507637,0.5,0.0,2.94,13.94
8,8,8,5,0.1200000000000001,0.06000000000000005,0.3800000000000008,0.3800000000000008,2.079,1.106,0.507637,0.25,0.6900000000000004,4.19,11.31
9,9,9,5,0.11999999999999922,0.0,0.0,0.0,2.079,1.106,0.507637,0.5600000000000005,0.0,2.81,13.94
10,10,10,6,0.1900000000000004,0.18999999999999995,0.4399999999999995,0.4399999999999995,2.088,1.123,0.506978,0.3099999999999996,0.8099999999999996,4.19,11.19
11,11,11,6,0.0600000000000005,0.0,0.0,0.0,2.088,1.123,0.506978,0.5,0.0,2.88,13.94
12,12,12,7,0.1200000000000001,0.1200000000000001,0.4399999999999995,0.4399999999999995,2.098,1.141,0.507637,0.25,0.75,4.25,11.25
13,13,13,7,0.0600000000000005,0.0,0.0,0.0,2.098,1.141,0.507637,0.5,0.0,2.88,13.94
14,14,14,8,0.1900000000000004,0.25,0.3800000000000008,0.4399999999999995,2.108,1.158,0.506978,0.25,0.8099999999999996,4.19,11.12
15,15,15,8,0.0600000000000005,0.06,0.0,0.0,2.108,1.158,0.506978,0.5,0.0,2.88,13.88
16,16,16,9,0.1900000000000004,0.3799999999999999,0.4399999999999995,0.4399999999999995,2.117,1.176,0.508296,0.3099999999999996,0.8799999999999999,4.19,11.06
17,17,17,9,0.0600000000000005,0.0,0.9399999999999995,0.9399999999999995,2.117,1.176,0.508296,0.5,0.0,2.88,13.94
18,18,18,10,0.1900000000000004,0.25,0.3800000000000008,0.4399999999999995,2.127,1.193,0.506978,0.25,0.8099999999999996,4.19,11.19
19,19,19,10,0.9399999999999995,0.0,0.0,0.0,2.127,1.193,0.506978,0.4399999999999995,0.0,3.0,13.94
20,20,20,11,0.1900000000000004,0.94,0.4399999999999995,0.4399999999999995,2.136,1.211,0.507637,0.3099999999999996,0.6900000000000004,4.19,11.44
21,21,21,11,0.0600000000000005,0.0,0.9399999999999995,0.9399999999999995,2.136,1.211,0.507637,0.5,0.0,2.81,13.94
22,22,22,12,0.1900000000000004,0.43999999999999995,0.3800000000000008,0.4399999999999995,2.146,1.228,0.507637,0.25,0.9400000000000004,4.19,10.94
23,23,23,12,0.0600000000000005,0.0,0.0,0.0,2.146,1.228,0.507637,0.5,0.0,2.88,13.94
24,24,24,13,0.1900000000000004,0.88,0.4399999999999995,0.4399999999999995,2.154,1.243,0.510271,0.3099999999999996,0.6200000000000001,4.19,11.56
25,25,25,13,0.11999999999999922,0.0,0.0,0.0,2.154,1.243,0.510271,0.5600000000000005,0.0,2.81,13.94
26,26,26,14,0.1900000000000004,0.1200000000000001,0.3800000000000008,0.4399999999999995,2.161,1.256,0.51749,0.3099999999999996,0.8099999999999996,4.19,11.25
27,27,27,14,0.0600000000000005,0.0,0.0,0.0,2.161,1.256,0.51749,0.5,0.0,2.88,13.94
28,28,28,15,0.1900000000000004,0.1200000000000001,0.3800000000000008,0.4399999999999995,2.166,1.265,0.525323,0.25,0.8099999999999996,4.19,11.31
29,29,29,15,0.11999999999999922,0.0,0.0,0.0,2.166,1.265,0.525323,0.5600000000000005,0.0,2.81,13.94
30,30,30,16,0.1900000000000004,0.18999999999999995,0.3800000000000008,0.5,2.169,1.273,0.534406,0.25,0.8799999999999999,4.12,11.25
31,31,31,16,0.11999999999999922,0.0,0.0,0.0,2.169,1.273,0.534406,0.5600000000000005,0.0,2.81,13.94
32,32,32,17,0.1900000000000004,0.18999999999999995,0.3800000000000008,0.4399999999999995,2.171,1.277,0.5415,0.3099999999999996,0.8099999999999996,4.19,11.19
33,33,33,17,0.0600000000000005,0.0,0.0,0.0,2.171,1.277,0.5415,0.5,0.0,2.88,13.94
34,34,34,18,0.1900000000000004,0.1200000000000001,0.4399999999999995,0.4399999999999995,2.172,1.279,0.549194,0.3099999999999996,0.8099999999999996,4.25,11.25
35,35,35,18,0.0600000000000005,0.0,0.0,0.0,2.172,1.279,0.549194,0.5,0.0,2.88,13.94
36,36,36,19,0.1900000000000004,0.31000000000000005,0.3800000000000008,0.3800000000000008,2.172,1.28,0.554935,0.25,0.8099999999999996,4.19,11.06
37,37,37,19,0.11999999999999922,0.0,0.0,0.0,2.172,1.28,0.554935,0.5600000000000005,0.0,2.81,13.94
38,38,38,20,0.1900000000000004,0.25,0.3800000000000008,0.4399999999999995,2.172,1.28,0.561916,0.25,0.8799999999999999,4.19,11.12
39,39,39,20,0.0600000000000005,0.0,0.9399999999999995,0.9399999999999995,2.172,1.28,0.561916,0.5,0.0,2.81,13.94
40,40,40,21,0.1900000000000004,0.1200000000000001,0.3800000000000008,0.3800000000000008,2.172,1.28,0.569486,0.25,0.75,4.19,11.19
41,41,41,21,0.0,0.0,0.0,0.0,2.172,1.28,0.569486,0.5,0.0,2.94,13.94
42,42,42,22,0.1200000000000001,0.18999999999999995,0.3800000000000008,0.5,2.172,1.28,0.577632,0.25,0.8099999999999996,4.25,11.25
43,43,43,22,0.0600000000000005,0.0,0.6899999999999995,0.5,2.172,1.28,0.577632,0.3800000000000008,0.75,2.62,13.44
44,44,44,23,0.1900000000000004,0.1200000000000001,0.4399999999999995,0.4399999999999995,2.172,1.28,0.585101,0.3099999999999996,0.75,4.25,11.25
45,45,45,23,0.0600000000000005,0.06,0.0,0.0,2.172,1.28,0.585101,0.5,0.0,2.88,13.88
46,46,46,24,0.1200000000000001,0.25,0.4399999999999995,0.5,2.172,1.28,0.593137,0.25,0.8799999999999999,4.25,11.19
47,47,47,24,0.11999999999999922,0.0,0.9399999999999995,0.0,2.172,1.28,0.593137,0.5,0.0,2.75,13.94
48,48,48,25,0.1900000000000004,0.18999999999999995,0.5,0.5,2.172,1.28,0.600503,0.3099999999999996,0.8099999999999996,4.25,11.25
49,49,49,25,0.1899999999999995,0.0,0.0,0.0,2.172,1.28,0.600503,0.5600000000000005,0.0,2.75,13.94
50,50,50,26,0.1900000000000004,0.1200000000000001,0.4399999999999995,0.3800000000000008,2.172,1.28,0.609032,0.25,0.75,4.25,11.25
51,51,51,26,0.0600000000000005,0.0,0.0,0.0,2.172,1.28,0.609032,0.5,0.0,2.88,13.94
52,52,52,27,0.1900000000000004,0.18999999999999995,0.4399999999999995,0.4399999999999995,2.172,1.28,0.615685,0.3099999999999996,0.8099999999999996,4.25,11.19
53,53,53,27,0.11999999999999922,0.06,0.0,0.0,2.172,1.28,0.615685,0.5600000000000005,0.0,2.81,13.88
54,54,54,28,0.1200000000000001,0.18999999999999995,0.4399999999999995,0.5,2.172,1.28,0.623491,0.25,0.8099999999999996,4.25,11.25
55,55,55,28,0.0600000000000005,0.0,0.0,0.0,2.172,1.28,0.623491,0.5,0.0,2.88,13.94
56,56,56,29,0.05999999999999961,0.18999999999999995,0.25,0.5600000000000005,2.172,1.28,0.630642,0.1900000000000004,0.8799999999999999,4.19,11.38
57,57,57,29,0.0,0.0,0.0,0.0,2.172,1.28,0.630642,0.5,0.0,2.94,13.94
58,58,58,30,0.0,0.31000000000000005,0.3100000000000005,0.5,2.173,1.282,0.634197,0.1200000000000001,0.8799999999999999,4.31,11.12
59,59,59,30,0.0,0.0,0.0,0.0,2.173,1.282,0.634197,0.5,0.0,2.94,13.94
60,60,60,31,0.0,0.43999999999999995,0.3100000000000005,0.5,2.174,1.287,0.63597,0.1900000000000004,0.9400000000000004,4.25,11.0
61,61,61,31,0.0600000000000005,0.0,0.0,0.0,2.174,1.287,0.63597,0.5,0.0,2.88,13.94
62,62,62,32,0.05999999999999961,0.0,0.3800000000000008,0.5600000000000005,2.175,1.295,0.63597,0.1900000000000004,0.75,4.25,11.56
63,63,63,32,0.11999999999999922,0.0,0.0,0.0,2.175,1.295,0.63597,0.5600000000000005,0.0,2.81,13.94
64,64,64,33,0.8799999999999999,0.88,0.3100000000000005,0.5,2.178,1.308,0.63597,0.05999999999999961,0.6900000000000004,4.44,11.62
65,65,65,33,0.1899999999999995,0.06,0.9399999999999995,0.0,2.178,1.308,0.63597,0.5600000000000005,0.0,2.75,13.88
66,66,66,34,0.0,0.69,0.4399999999999995,0.6199999999999992,2.18,1.322,0.63715,0.1900000000000004,0.6900000000000004,4.44,11.88
67,67,67,34,0.3100000000000005,0.0,0.0,0.0,2.18,1.322,0.63715,0.6199999999999992,0.0,2.62,13.94
68,68,68,35,0.75,0.69,0.3100000000000005,0.6199999999999992,2.184,1.34,0.63597,0.05999999999999961,0.6200000000000001,4.5,11.94
69,69,69,35,0.3800000000000008,0.0,0.0,0.0,2.184,1.34,0.63597,0.6899999999999995,0.0,2.56,13.94
70,70,70,36,0.75,0.5,0.3100000000000005,0.5600000000000005,2.187,1.36,0.63774,0.05999999999999961,0.5,4.56,12.06
71,71,71,36,0.4399999999999995,0.06,0.0,0.0,2.187,1.36,0.63774,0.6899999999999995,0.0,2.5,13.88
72,72,72,37,0.75,0.31,0.3100000000000005,0.6199999999999992,2.191,1.379,0.63597,0.05999999999999961,0.4400000000000004,4.5,12.31
73,73,73,37,0.5,0.06,0.0,0.0,2.191,1.379,0.63597,0.75,0.0,2.44,13.88
74,74,74,38,0.6200000000000001,0.25,0.3100000000000005,0.6899999999999995,2.195,1.399,0.63656,0.9400000000000004,0.5,4.62,12.44
