index,x,y,z
0,2.031,1.019,0.507637
1,2.04,1.036,0.507637
2,2.05,1.054,0.507637
3,2.06,1.071,0.508296
4,2.069,1.089,0.507637
5,2.079,1.106,0.507637
6,2.088,1.123,0.506978
7,2.098,1.141,0.507637
8,2.108,1.158,0.506978
9,2.117,1.176,0.508296
10,2.127,1.193,0.506978
11,2.136,1.211,0.507637
12,2.146,1.228,0.507637
13,2.154,1.243,0.510271
14,2.161,1.256,0.51749
15,2.166,1.265,0.525323
16,2.169,1.273,0.534406
17,2.171,1.277,0.5415
18,2.172,1.279,0.549194
19,2.172,1.28,0.554935
20,2.172,1.28,0.561916
21,2.172,1.28,0.569486
22,2.172,1.28,0.577632
23,2.172,1.28,0.585101
24,2.172,1.28,0.593137
25,2.172,1.28,0.600503
26,2.172,1.28,0.609032
27,2.172,1.28,0.615685
28,2.172,1.28,0.623491
29,2.172,1.28,0.630642
30,2.173,1.282,0.634197
31,2.174,1.287,0.63597
32,2.175,1.295,0.63597
33,2.178,1.308,0.63597
34,2.18,1.322,0.63715
35,2.184,1.34,0.63597
36,2.187,1.36,0.63774
37,2.191,1.379,0.63597
38,2.195,1.399,0.63656
39,2.198,1.418,0.63597
40,2.202,1.438,0.63656
41,2.206,1.457,0.63597
42,2.209,1.477,0.63656
43,2.213,1.496,0.63597
44,2.216,1.513,0.638329
45,2.219,1.527,0.645368
46,2.22,1.539,0.651773
47,2.222,1.547,0.659858
48,2.222,1.552,0.666728
49,2.222,1.554,0.672976
50,2.222,1.555,0.67749
51,2.222,1.555,0.684771
52,2.222,1.555,0.69088
53,2.222,1.555,0.698035
54,2.222,1.555,0.704579
55,2.222,1.557,0.707829
56,2.222,1.562,0.708909
57,2.222,1.571,0.710526
58,2.222,1.583,0.709987
59,2.222,1.598,0.710526
60,2.222,1.616,0.709987
61,2.222,1.636,0.710526
62,2.221,1.656,0.709987
63,2.221,1.676,0.709987
64,2.221,1.696,0.710526
65,2.221,1.715,0.709987
66,2.221,1.735,0.709987
67,2.22,1.755,0.709987
68,2.22,1.775,0.710526
69,2.22,1.795,0.709448
