,Unnamed: 0,image_number,xmin,ymin,xmax,ymax,x_values_odo,y_values_odo,z_values_odo,x_center,y_center,width,height
0,0,0,339.0,61.0,783.0,662.0,2.031,1.019,0.507637,224,256,177,427
1,1,1,383.0,43.0,773.0,641.0,2.04,1.036,0.507637,231,243,156,425
2,2,2,385.0,48.0,770.0,641.0,2.05,1.054,0.507637,230,244,154,421
3,3,2,1017.0,4.0,1280.0,720.0,2.05,1.054,0.507637,459,257,105,509
4,4,3,380.0,54.0,773.0,645.0,2.06,1.071,0.508296,230,248,157,420
5,5,3,1015.0,2.0,1280.0,720.0,2.06,1.071,0.508296,458,256,106,510
6,6,4,384.0,64.0,759.0,638.0,2.069,1.089,0.507637,228,249,150,408
7,7,4,1010.0,1.0,1280.0,720.0,2.069,1.089,0.507637,458,256,108,511
8,8,5,380.0,55.0,766.0,637.0,2.079,1.106,0.507637,229,246,154,413
9,9,5,1021.0,3.0,1280.0,720.0,2.079,1.106,0.507637,460,256,103,509
10,10,6,386.0,62.0,772.0,640.0,2.088,1.123,0.506978,231,249,154,411
11,11,6,1015.0,1.0,1280.0,720.0,2.088,1.123,0.506978,458,256,106,511
12,12,7,382.0,60.0,772.0,641.0,2.098,1.141,0.507637,230,248,156,413
13,13,7,1015.0,3.0,1280.0,720.0,2.098,1.141,0.507637,458,256,106,509
14,14,8,385.0,65.0,769.0,640.0,2.108,1.158,0.506978,230,250,153,408
15,15,8,1015.0,5.0,1280.0,720.0,2.108,1.158,0.506978,458,257,106,508
16,16,9,384.0,71.0,772.0,641.0,2.117,1.176,0.508296,231,253,155,405
17,17,9,1012.0,1.0,1278.0,719.0,2.117,1.176,0.508296,458,256,106,510
18,18,10,383.0,65.0,769.0,641.0,2.127,1.193,0.506978,230,251,154,409
19,19,10,1003.0,2.0,1280.0,720.0,2.127,1.193,0.506978,456,256,110,510
20,20,11,385.0,50.0,772.0,641.0,2.136,1.211,0.507637,231,245,154,420
21,21,11,1015.0,1.0,1277.0,719.0,2.136,1.211,0.507637,458,256,104,510
22,22,12,385.0,76.0,770.0,641.0,2.146,1.228,0.507637,230,254,154,401
23,23,12,1015.0,1.0,1280.0,720.0,2.146,1.228,0.507637,458,256,106,511
24,24,13,385.0,46.0,772.0,641.0,2.154,1.243,0.510271,231,243,154,423
25,25,13,1018.0,1.0,1280.0,720.0,2.154,1.243,0.510271,459,256,104,511
26,26,14,386.0,61.0,771.0,641.0,2.161,1.256,0.51749,231,249,154,412
27,27,14,1015.0,1.0,1280.0,720.0,2.161,1.256,0.51749,458,256,106,511
28,28,15,384.0,60.0,768.0,642.0,2.166,1.265,0.525323,230,249,153,413
29,29,15,1018.0,1.0,1280.0,720.0,2.166,1.265,0.525323,459,256,104,511
30,30,16,387.0,64.0,768.0,644.0,2.169,1.273,0.534406,230,251,152,412
31,31,16,1018.0,1.0,1280.0,720.0,2.169,1.273,0.534406,459,256,104,511
32,32,17,386.0,64.0,771.0,641.0,2.171,1.277,0.5415,231,250,154,410
33,33,17,1014.0,1.0,1280.0,720.0,2.171,1.277,0.5415,458,256,106,511
34,34,18,383.0,61.0,774.0,641.0,2.172,1.279,0.549194,231,249,156,412
